,qasrl_id,verb_idx,verb,question,answer,answer_range,verb_form,wh,aux,subj,obj,prep,obj2,is_negated,is_passive,sentence,key
2244,Wiki1k:wikipedia:1164:62:0,1,learning,how did someone learn?,convolutional neural networks ( CNNs~!~whose origins can be traced back to the Neocognitron introduced by Kunihiko Fukushima in 1980,4:9~!~11:26,learn,how,did,someone,_,_,_,False,,"Deep learning often uses convolutional neural networks ( CNNs ) , whose origins can be traced back to the Neocognitron introduced by Kunihiko Fukushima in 1980 .",Wiki1k:wikipedia:1164:62:0_1
2360,Wiki1k:wikipedia:15924:21:0,7,incursion,who incurred somewhere?,Caesar,4:5,incurred,who,_,_,_,_,somewhere,False,,"In 55 BC , Caesar repelled an incursion into Gaul by two Germanic tribes , and followed it up by building a bridge across the Rhine and making a show of force in Germanic territory , before returning and dismantling the bridge .",Wiki1k:wikipedia:15924:21:0_7
2362,Wiki1k:wikipedia:15924:21:0,7,incursion,who incurred somewhere?,two Germanic tribes,11:14,incurred,who,_,_,_,_,somewhere,False,,"In 55 BC , Caesar repelled an incursion into Gaul by two Germanic tribes , and followed it up by building a bridge across the Rhine and making a show of force in Germanic territory , before returning and dismantling the bridge .",Wiki1k:wikipedia:15924:21:0_7
2412,Wiki1k:wikipedia:10401954:44:1,48,harm,who might harm someone?,parent~!~other caregiver,41:42~!~43:45,harm,who,might,_,someone,_,_,False,,"In the United States , the Centers for Disease Control and Prevention ( CDC ) and the Department for Children and Families ( DCF ) define child maltreatment as any act or series of acts of commission or omission by a parent or other caregiver that results in harm , potential for harm , or threat of harm to a child .",Wiki1k:wikipedia:10401954:44:1_48
2413,Wiki1k:wikipedia:10401954:44:1,48,harm,who might harm someone?,a child,59:61,harm,who,might,_,someone,_,_,False,,"In the United States , the Centers for Disease Control and Prevention ( CDC ) and the Department for Children and Families ( DCF ) define child maltreatment as any act or series of acts of commission or omission by a parent or other caregiver that results in harm , potential for harm , or threat of harm to a child .",Wiki1k:wikipedia:10401954:44:1_48
2415,Wiki1k:wikipedia:10401954:44:1,52,harm,who might harm someone?,other caregiver~!~parent,43:45~!~41:42,harm,who,might,_,someone,_,_,False,,"In the United States , the Centers for Disease Control and Prevention ( CDC ) and the Department for Children and Families ( DCF ) define child maltreatment as any act or series of acts of commission or omission by a parent or other caregiver that results in harm , potential for harm , or threat of harm to a child .",Wiki1k:wikipedia:10401954:44:1_52
2416,Wiki1k:wikipedia:10401954:44:1,52,harm,who might harm someone?,a child,59:61,harm,who,might,_,someone,_,_,False,,"In the United States , the Centers for Disease Control and Prevention ( CDC ) and the Department for Children and Families ( DCF ) define child maltreatment as any act or series of acts of commission or omission by a parent or other caregiver that results in harm , potential for harm , or threat of harm to a child .",Wiki1k:wikipedia:10401954:44:1_52
2420,Wiki1k:wikipedia:10401954:44:1,57,harm,who might harm someone?,a parent~!~other caregiver,40:42~!~43:45,harm,who,might,_,someone,_,_,False,,"In the United States , the Centers for Disease Control and Prevention ( CDC ) and the Department for Children and Families ( DCF ) define child maltreatment as any act or series of acts of commission or omission by a parent or other caregiver that results in harm , potential for harm , or threat of harm to a child .",Wiki1k:wikipedia:10401954:44:1_57
2421,Wiki1k:wikipedia:10401954:44:1,57,harm,who might harm someone?,a child,59:61,harm,who,might,_,someone,_,_,False,,"In the United States , the Centers for Disease Control and Prevention ( CDC ) and the Department for Children and Families ( DCF ) define child maltreatment as any act or series of acts of commission or omission by a parent or other caregiver that results in harm , potential for harm , or threat of harm to a child .",Wiki1k:wikipedia:10401954:44:1_57
2428,Wiki1k:wikipedia:10772350:24:0,26,mistakes,who mistook something?,Ibn Khaldun~!~the Arab historian,20:22~!~13:16,mistook,who,_,_,something,_,_,False,,"In the preface to his book , the Muqaddimah ( 1377 ) , the Arab historian and early sociologist , Ibn Khaldun , warned of seven mistakes that he thought that historians regularly committed .",Wiki1k:wikipedia:10772350:24:0_26
2430,Wiki1k:wikipedia:10772350:24:0,26,mistakes,who mistook something?,historians,31:32,mistook,who,_,_,something,_,_,False,,"In the preface to his book , the Muqaddimah ( 1377 ) , the Arab historian and early sociologist , Ibn Khaldun , warned of seven mistakes that he thought that historians regularly committed .",Wiki1k:wikipedia:10772350:24:0_26
2521,Wiki1k:wikinews:844279:23:2,27,evacuations,where didn't someone evacuate?,the United States,10:13,evacuate,where,didn't,someone,_,_,_,True,,One of the problems with the response to Katrina in the United States was that some residents in the vulnerable regions failed to heed the warnings and evacuations were not well coordinated .,Wiki1k:wikinews:844279:23:2_27
2523,Wiki1k:wikinews:844279:23:2,27,evacuations,where didn't someone evacuate?,vulnerable regions,19:21,evacuate,where,didn't,someone,_,_,_,True,,One of the problems with the response to Katrina in the United States was that some residents in the vulnerable regions failed to heed the warnings and evacuations were not well coordinated .,Wiki1k:wikinews:844279:23:2_27
2581,Wiki1k:wikinews:859181:3:0,17,evacuation,where was someone evacuated?,Schools in the Blue Mountains,0:5,evacuated,where,was,someone,_,_,_,False,,"Schools in the Blue Mountains were evacuated last night , with many residents seeking refuge at emergency evacuation centres around the area .",Wiki1k:wikinews:859181:3:0_17
2584,Wiki1k:wikinews:859181:3:0,17,evacuation,where was someone evacuated?,emergency evacuation centres,16:19,evacuated,where,was,someone,_,_,_,False,,"Schools in the Blue Mountains were evacuated last night , with many residents seeking refuge at emergency evacuation centres around the area .",Wiki1k:wikinews:859181:3:0_17
2585,Wiki1k:wikinews:859181:3:0,17,evacuation,where was someone evacuated?,around the area,19:22,evacuated,where,was,someone,_,_,_,False,,"Schools in the Blue Mountains were evacuated last night , with many residents seeking refuge at emergency evacuation centres around the area .",Wiki1k:wikinews:859181:3:0_17
2627,Wiki1k:wikinews:844279:23:1,18,intensity,how was something intensified?,cyclone intensity,17:19,intensified,how,was,something,_,_,_,False,,"The actual intensity of Phailin at landfall is still uncertain , because it is difficult to measure cyclone intensity accurately using only satellite information .",Wiki1k:wikinews:844279:23:1_18
2628,Wiki1k:wikinews:844279:23:1,18,intensity,how was something intensified?,using only satellite information,20:24,intensified,how,was,something,_,_,_,False,,"The actual intensity of Phailin at landfall is still uncertain , because it is difficult to measure cyclone intensity accurately using only satellite information .",Wiki1k:wikinews:844279:23:1_18
2764,Wiki1k:wikipedia:15924:48:2,32,successor,who succeeded someone?,Caesar,30:31,succeeded,who,_,_,someone,_,_,False,,"This process , of fusing the entire Roman Empire into a single unit , rather than maintaining it as a network of unequal principalities , would ultimately be completed by Caesar 's successor , the emperor Augustus .",Wiki1k:wikipedia:15924:48:2_32
2765,Wiki1k:wikipedia:15924:48:2,32,successor,who did someone succeed?,the emperor Augustus,34:37,succeed,who,did,someone,_,_,_,False,,"This process , of fusing the entire Roman Empire into a single unit , rather than maintaining it as a network of unequal principalities , would ultimately be completed by Caesar 's successor , the emperor Augustus .",Wiki1k:wikipedia:15924:48:2_32
2810,Wiki1k:wikipedia:21212:26:1,27,allies,who did someone ally with?,Italy~!~Hungary~!~subservient allies,13:14~!~15:16~!~26:28,ally,who,did,someone,_,with,_,False,,"A main goal was obtaining soldiers from the senior allies , such as Italy and Hungary , and millions of workers and ample food supplies from subservient allies such as Vichy France .",Wiki1k:wikipedia:21212:26:1_27
2812,Wiki1k:wikipedia:21212:26:1,27,allies,who did someone ally with?,Vichy France,30:32,ally,who,did,someone,_,with,_,False,,"A main goal was obtaining soldiers from the senior allies , such as Italy and Hungary , and millions of workers and ample food supplies from subservient allies such as Vichy France .",Wiki1k:wikipedia:21212:26:1_27
2813,Wiki1k:wikipedia:19568112:28:2,2,golf,how did someone golf?,A proper golf swing,0:4,golf,how,did,someone,_,_,_,False,,"A proper golf swing is a complex combination of motions , and slight variations in posture or positioning can make a great deal of difference in how well the ball is hit and how straight it travels .",Wiki1k:wikipedia:19568112:28:2_2
2814,Wiki1k:wikipedia:19568112:28:2,2,golf,how did someone golf?,a complex combination of motions,5:10,golf,how,did,someone,_,_,_,False,,"A proper golf swing is a complex combination of motions , and slight variations in posture or positioning can make a great deal of difference in how well the ball is hit and how straight it travels .",Wiki1k:wikipedia:19568112:28:2_2
3001,Wiki1k:wikipedia:17741:21:4,17,observation,where was something observed?,a meteorological observation site,15:19,observed,where,was,something,_,_,_,False,,"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4_17
3002,Wiki1k:wikipedia:17741:21:4,17,observation,where was something observed?,near Glossop,19:21,observed,where,was,something,_,_,_,False,,"He conducted research into the behavior of kites in the upper atmosphere , experimenting at a meteorological observation site near Glossop .",Wiki1k:wikipedia:17741:21:4_17
3052,Wiki1k:wikipedia:19579:3:1,10,shift,where did something shift?,towards the Atchafalaya River channel,11:16,shift,where,did,something,_,_,_,False,,"In recent years , the river has shown a steady shift towards the Atchafalaya River channel in the Delta ; a course change would be an economic disaster for the port city of New Orleans .",Wiki1k:wikipedia:19579:3:1_10
3053,Wiki1k:wikipedia:19579:3:1,10,shift,where did something shift?,in the Delta,16:19,shift,where,did,something,_,_,_,False,,"In recent years , the river has shown a steady shift towards the Atchafalaya River channel in the Delta ; a course change would be an economic disaster for the port city of New Orleans .",Wiki1k:wikipedia:19579:3:1_10
3059,Wiki1k:wikipedia:19579:3:1,22,change,where might something change?,the Atchafalaya River channel in the Delta,12:19,change,where,might,something,_,_,_,False,,"In recent years , the river has shown a steady shift towards the Atchafalaya River channel in the Delta ; a course change would be an economic disaster for the port city of New Orleans .",Wiki1k:wikipedia:19579:3:1_22
3061,Wiki1k:wikipedia:19579:3:1,22,change,where might something change?,the port city of New Orleans,29:35,change,where,might,something,_,_,_,False,,"In recent years , the river has shown a steady shift towards the Atchafalaya River channel in the Delta ; a course change would be an economic disaster for the port city of New Orleans .",Wiki1k:wikipedia:19579:3:1_22
3083,Wiki1k:wikipedia:16016:48:7,15,liberation,why won't someone liberate somewhere?,religion is practiced in lax and diluted form,5:13,liberate,why,won't,someone,_,_,somewhere,True,,"In this ara , though religion is practiced in lax and diluted form , no liberation is possible .",Wiki1k:wikipedia:16016:48:7_15
3084,Wiki1k:wikipedia:16016:48:7,15,liberation,why won't someone liberate somewhere?,no liberation is possible,14:18,liberate,why,won't,someone,_,_,somewhere,True,,"In this ara , though religion is practiced in lax and diluted form , no liberation is possible .",Wiki1k:wikipedia:16016:48:7_15
3101,Wiki1k:wikipedia:18985062:19:2,38,aid,what was aided?,the black hole information paradox,29:34,aided,what,was,_,_,_,_,False,,"Information does not cease to exist , it may only get scrambled beyond any possibility of retrieval ( within Information Theory , see lossy compression ; in Physics , the black hole information paradox gets solved with the aid of the holographic principle ) .",Wiki1k:wikipedia:18985062:19:2_38
3102,Wiki1k:wikipedia:18985062:19:2,38,aid,what was aided?,the holographic principle,40:43,aided,what,was,_,_,_,_,False,,"Information does not cease to exist , it may only get scrambled beyond any possibility of retrieval ( within Information Theory , see lossy compression ; in Physics , the black hole information paradox gets solved with the aid of the holographic principle ) .",Wiki1k:wikipedia:18985062:19:2_38
3250,Wiki1k:wikipedia:16016:85:1,9,work,who worked on something?,a Jain,11:13,worked,who,_,_,_,on,something,False,,The Tirukkuṛaḷ by Thiruvalluvar is considered to be the work of a Jain by scholars such as Ka .,Wiki1k:wikipedia:16016:85:1_9
3251,Wiki1k:wikipedia:16016:85:1,9,work,who worked on something?,scholars such as Ka,14:18,worked,who,_,_,_,on,something,False,,The Tirukkuṛaḷ by Thiruvalluvar is considered to be the work of a Jain by scholars such as Ka .,Wiki1k:wikipedia:16016:85:1_9
3281,Wiki1k:wikipedia:18985062:19:0,17,concern,what was concerned?,The information cycle,0:3,concerned,what,was,_,_,_,_,False,,"The information cycle ( addressed as a whole or in its distinct components ) is of great concern to Information Technology , Information Systems , as well as Information Science .",Wiki1k:wikipedia:18985062:19:0_17
3283,Wiki1k:wikipedia:18985062:19:0,17,concern,what was concerned?,"Information Technology, Information Systems, as well as Information Science",19:30,concerned,what,was,_,_,_,_,False,,"The information cycle ( addressed as a whole or in its distinct components ) is of great concern to Information Technology , Information Systems , as well as Information Science .",Wiki1k:wikipedia:18985062:19:0_17
3292,Wiki1k:wikipedia:17524:26:2,2,study,how was something studied?,scientific study,1:3,studied,how,was,something,_,_,_,False,,The scientific study of language was broadened from Indo-European to language in general by Wilhelm von Humboldt .,Wiki1k:wikipedia:17524:26:2_2
3294,Wiki1k:wikipedia:17524:26:2,2,study,how was something studied?,broadened from Indo-European to language in general,6:15,studied,how,was,something,_,_,_,False,,The scientific study of language was broadened from Indo-European to language in general by Wilhelm von Humboldt .,Wiki1k:wikipedia:17524:26:2_2
3301,Wiki1k:wikipedia:15924:79:0,23,source,what was sourced?,The texts written by Caesar,0:5,sourced,what,was,_,_,_,_,False,,"The texts written by Caesar , an autobiography of the most important events of his public life , are the most complete primary source for the reconstruction of his biography .",Wiki1k:wikipedia:15924:79:0_23
3303,Wiki1k:wikipedia:15924:79:0,23,source,what was sourced?,the reconstruction of his biography,25:30,sourced,what,was,_,_,_,_,False,,"The texts written by Caesar , an autobiography of the most important events of his public life , are the most complete primary source for the reconstruction of his biography .",Wiki1k:wikipedia:15924:79:0_23
3341,Wiki1k:wikipedia:19568112:31:3,4,style,how was something styled?,grip~!~putting style,1:2~!~3:5,styled,how,was,something,_,_,_,False,,This grip and putting style is known as `` conventional '' .,Wiki1k:wikipedia:19568112:31:3_4
3342,Wiki1k:wikipedia:19568112:31:3,4,style,how was something styled?,conventional,10:11,styled,how,was,something,_,_,_,False,,This grip and putting style is known as `` conventional '' .,Wiki1k:wikipedia:19568112:31:3_4
3350,Wiki1k:wikipedia:15924:48:2,32,successor,who succeeded someone?,Caesar,30:31,succeeded,who,_,_,someone,_,_,False,,"This process , of fusing the entire Roman Empire into a single unit , rather than maintaining it as a network of unequal principalities , would ultimately be completed by Caesar 's successor , the emperor Augustus .",Wiki1k:wikipedia:15924:48:2_32
3351,Wiki1k:wikipedia:15924:48:2,32,successor,who did someone succeed?,the emperor Augustus,34:37,succeed,who,did,someone,_,_,_,False,,"This process , of fusing the entire Roman Empire into a single unit , rather than maintaining it as a network of unequal principalities , would ultimately be completed by Caesar 's successor , the emperor Augustus .",Wiki1k:wikipedia:15924:48:2_32
3396,Wiki1k:wikipedia:16016:97:0,17,carvings,what was carving something?,Udayagiri~!~Khandagiri Caves,0:1~!~2:4,carving,what,was,_,something,_,_,False,,Udayagiri and Khandagiri Caves dates back to 2nd-1st century BCE are dedicated to Jainism are rich with carvings of Jain tirthanakars and deities with inscriptions including Hathigumpha inscription .,Wiki1k:wikipedia:16016:97:0_17
3398,Wiki1k:wikipedia:16016:97:0,17,carvings,what was carving something?,Jain tirthanakars~!~deities,19:21~!~22:23,carving,what,was,_,something,_,_,False,,Udayagiri and Khandagiri Caves dates back to 2nd-1st century BCE are dedicated to Jainism are rich with carvings of Jain tirthanakars and deities with inscriptions including Hathigumpha inscription .,Wiki1k:wikipedia:16016:97:0_17
3404,Wiki1k:wikipedia:21212:26:3,11,control,when did someone control something?,When a country was no longer dependable,0:7,control,when,did,someone,something,_,_,False,,"When a country was no longer dependable , Germany assumed full control , as it did with France in 1942 , Italy in 1943 , and Hungary in 1944 .",Wiki1k:wikipedia:21212:26:3_11
3407,Wiki1k:wikipedia:21212:26:3,11,control,when did someone control something?,1942,19:20,control,when,did,someone,something,_,_,False,,"When a country was no longer dependable , Germany assumed full control , as it did with France in 1942 , Italy in 1943 , and Hungary in 1944 .",Wiki1k:wikipedia:21212:26:3_11
3525,Wiki1k:wikipedia:26964606:96:0,5,education,how was someone educated?,secondary education,4:6,educated,how,was,someone,_,_,_,False,,"As in Germany , secondary education consists of two main types of schools , attendance at which is based on a pupil 's ability as determined by grades from the primary school .",Wiki1k:wikipedia:26964606:96:0_5
3526,Wiki1k:wikipedia:26964606:96:0,5,education,how was someone educated?,attendance at which is based on a pupil's ability as determined by grades from the primary school,14:32,educated,how,was,someone,_,_,_,False,,"As in Germany , secondary education consists of two main types of schools , attendance at which is based on a pupil 's ability as determined by grades from the primary school .",Wiki1k:wikipedia:26964606:96:0_5
3558,Wiki1k:wikipedia:2200527:108:3,19,term,how was something termed something?,ungovernable,16:17,termed,how,was,something,something,_,_,False,,"By 1985 , it had become the ANC 's aim to make black townships `` ungovernable '' ( a term later replaced by `` people 's power '' ) by means of rent boycotts and other militant action .",Wiki1k:wikipedia:2200527:108:3_19
3559,Wiki1k:wikipedia:2200527:108:3,19,term,how was something termed something?,by means of rent boycotts and other militant action,31:40,termed,how,was,something,something,_,_,False,,"By 1985 , it had become the ANC 's aim to make black townships `` ungovernable '' ( a term later replaced by `` people 's power '' ) by means of rent boycotts and other militant action .",Wiki1k:wikipedia:2200527:108:3_19
3584,Wiki1k:wikipedia:27709:12:3,3,processes,how is something processed?,Current mass production processes,0:4,processed,how,is,something,_,_,_,False,,Current mass production processes use crystal ingots between 100 and 300 mm ( 4 and 12 in ) in diameter which are grown as cylinders and sliced into wafers .,Wiki1k:wikipedia:27709:12:3_3
3586,Wiki1k:wikipedia:27709:12:3,3,processes,how is something processed?,between 100 and 300 mm ( 4 and 12 in ) in diameter,7:20,processed,how,is,something,_,_,_,False,,Current mass production processes use crystal ingots between 100 and 300 mm ( 4 and 12 in ) in diameter which are grown as cylinders and sliced into wafers .,Wiki1k:wikipedia:27709:12:3_3
3667,Wiki1k:wikipedia:2402:16:4,15,church,where did someone church?,Venice,1:2,church,where,did,someone,_,_,_,False,,In Venice he was given a valuable commission from the emigrant German community for the church of San Bartolomeo .,Wiki1k:wikipedia:2402:16:4_15
3669,Wiki1k:wikipedia:2402:16:4,15,church,where did someone church?,San Bartolomeo,17:19,church,where,did,someone,_,_,_,False,,In Venice he was given a valuable commission from the emigrant German community for the church of San Bartolomeo .,Wiki1k:wikipedia:2402:16:4_15
3678,Wiki1k:wikipedia:2402:37:0,24,expressions,how did someone express something?,graphic expressions,23:25,express,how,did,someone,something,_,_,False,,"In all his theoretical works , in order to communicate his theories in the German language rather than in Latin , Dürer used graphic expressions based on a vernacular , craftsmen 's language .",Wiki1k:wikipedia:2402:37:0_24
3679,Wiki1k:wikipedia:2402:37:0,24,expressions,how did someone express something?,"based on a vernacular, craftsmen's language",25:33,express,how,did,someone,something,_,_,False,,"In all his theoretical works , in order to communicate his theories in the German language rather than in Latin , Dürer used graphic expressions based on a vernacular , craftsmen 's language .",Wiki1k:wikipedia:2402:37:0_24
3752,Wiki1k:wikipedia:29778:17:0,8,patents,who patented something?,Edison,3:4,patented,who,_,_,something,_,_,False,,"Nearly all of Edison 's patents were utility patents , which were protected for a 17-year period and included inventions or processes that are electrical , mechanical , or chemical in nature .",Wiki1k:wikipedia:29778:17:0_8
3753,Wiki1k:wikipedia:29778:17:0,8,patents,what did someone patent?,utility patents,7:9,patent,what,did,someone,_,_,_,False,,"Nearly all of Edison 's patents were utility patents , which were protected for a 17-year period and included inventions or processes that are electrical , mechanical , or chemical in nature .",Wiki1k:wikipedia:29778:17:0_8
3763,Wiki1k:wikipedia:22208:42:1,24,reactions,what did something react to?,a target molecule,18:21,react,what,did,something,_,to,_,False,,"Organic synthesis of a novel compound is a problem solving task , where a synthesis is designed for a target molecule by selecting optimal reactions from optimal starting materials .",Wiki1k:wikipedia:22208:42:1_24
3765,Wiki1k:wikipedia:22208:42:1,24,reactions,what did something react to?,from optimal starting materials,25:29,react,what,did,something,_,to,_,False,,"Organic synthesis of a novel compound is a problem solving task , where a synthesis is designed for a target molecule by selecting optimal reactions from optimal starting materials .",Wiki1k:wikipedia:22208:42:1_24
3790,Wiki1k:wikipedia:27158894:32:1,1,research,how was something researched?,Preclinical research,0:2,researched,how,was,something,_,_,_,False,,"Preclinical research using a rodent model of cue exposure therapy ( CET ) show that this type of treatment is more effective in adults compared to adolescents , however that adolescent outcomes can be improved by acute treatment at the time of ( CET ) with a dopamine 2 receptor agonist .",Wiki1k:wikipedia:27158894:32:1_1
3791,Wiki1k:wikipedia:27158894:32:1,1,research,how was something researched?,"using a rodent model of cue exposure therapy ( CET ) show that this type of treatment is more effective in adults compared to adolescents, however that adolescent outcomes can be improved by acute treatment at the time of ( CET ) with a dopamine 2 receptor agonist",2:51,researched,how,was,something,_,_,_,False,,"Preclinical research using a rodent model of cue exposure therapy ( CET ) show that this type of treatment is more effective in adults compared to adolescents , however that adolescent outcomes can be improved by acute treatment at the time of ( CET ) with a dopamine 2 receptor agonist .",Wiki1k:wikipedia:27158894:32:1_1
3814,Wiki1k:wikipedia:2408:19:3,11,development,what was developed?,this field,2:4,developed,what,was,_,_,_,_,False,,"Recently , this field is rapidly progressing because of the rapid development of the computer and camera industries .",Wiki1k:wikipedia:2408:19:3_11
3816,Wiki1k:wikipedia:2408:19:3,11,development,what was developed?,computer and camera industries,14:18,developed,what,was,_,_,_,_,False,,"Recently , this field is rapidly progressing because of the rapid development of the computer and camera industries .",Wiki1k:wikipedia:2408:19:3_11
3934,Wiki1k:wikipedia:2200527:108:2,1,focus,what was something focusing on?,their leaders~!~the local authorities,13:15~!~9:12,focusing,what,was,something,_,on,_,False,,"The focus of much of this resistance was against the local authorities and their leaders , who were seen to be supporting the government .",Wiki1k:wikipedia:2200527:108:2_1
3935,Wiki1k:wikipedia:2200527:108:2,1,focus,what was something focusing on?,supporting the government,21:24,focusing,what,was,something,_,on,_,False,,"The focus of much of this resistance was against the local authorities and their leaders , who were seen to be supporting the government .",Wiki1k:wikipedia:2200527:108:2_1
3965,Wiki1k:wikipedia:2408:23:0,9,analysis,how is something analysed?,The method of standard addition is used,0:7,analysed,how,is,something,_,_,_,False,,"The method of standard addition is used in instrumental analysis to determine concentration of a substance ( analyte ) in an unknown sample by comparison to a set of samples of known concentration , similar to using a calibration curve .",Wiki1k:wikipedia:2408:23:0_9
3966,Wiki1k:wikipedia:2408:23:0,9,analysis,how is something analysed?,instrumental analysis,8:10,analysed,how,is,something,_,_,_,False,,"The method of standard addition is used in instrumental analysis to determine concentration of a substance ( analyte ) in an unknown sample by comparison to a set of samples of known concentration , similar to using a calibration curve .",Wiki1k:wikipedia:2408:23:0_9
3968,Wiki1k:wikipedia:2408:23:0,9,analysis,how is something analysed?,by comparison to a set of samples of known concentration,23:33,analysed,how,is,something,_,_,_,False,,"The method of standard addition is used in instrumental analysis to determine concentration of a substance ( analyte ) in an unknown sample by comparison to a set of samples of known concentration , similar to using a calibration curve .",Wiki1k:wikipedia:2408:23:0_9
4064,Wiki1k:wikipedia:26962:37:3,21,work,why does something work?,To emit electromagnetic waves,0:4,work,why,does,something,_,_,_,False,,"To emit electromagnetic waves , all you have to do is shake a charged particle , and this is clearly doing work , so that the emission is of energy .",Wiki1k:wikipedia:26962:37:3_21
4066,Wiki1k:wikipedia:26962:37:3,21,work,why does something work?,so that the emission is of energy,23:30,work,why,does,something,_,_,_,False,,"To emit electromagnetic waves , all you have to do is shake a charged particle , and this is clearly doing work , so that the emission is of energy .",Wiki1k:wikipedia:26962:37:3_21
4091,Wiki1k:wikipedia:2402:7:1,27,arrangement,when was something arranged?,7 July 1494,9:12,arranged,when,was,something,_,_,_,False,,"Very soon after his return to Nuremberg , on 7 July 1494 , at the age of 23 , Dürer was married to Agnes Frey following an arrangement made during his absence .",Wiki1k:wikipedia:2402:7:1_27
4093,Wiki1k:wikipedia:2402:7:1,27,arrangement,when was something arranged?,during his absence,29:32,arranged,when,was,something,_,_,_,False,,"Very soon after his return to Nuremberg , on 7 July 1494 , at the age of 23 , Dürer was married to Agnes Frey following an arrangement made during his absence .",Wiki1k:wikipedia:2402:7:1_27
4239,Wiki1k:wikipedia:3391396:79:8,18,completion,what was completed?,the new international airport,4:8,completed,what,was,_,_,_,_,False,,"Currently under construction , the new international airport will become the largest airport in the world upon the completion of all four stages of the project , with a capacity to serve 150 million passengers per year .",Wiki1k:wikipedia:3391396:79:8_18
4241,Wiki1k:wikipedia:3391396:79:8,18,completion,what was completed?,all four stages of the project,20:26,completed,what,was,_,_,_,_,False,,"Currently under construction , the new international airport will become the largest airport in the world upon the completion of all four stages of the project , with a capacity to serve 150 million passengers per year .",Wiki1k:wikipedia:3391396:79:8_18
4244,Wiki1k:wikipedia:5391:10:2,22,increase,what increases?,workers,17:18,increases,what,_,_,_,_,_,False,,"Discussing the benefits of proximity , Glaeser claims that if a city is doubled in size , workers get a ten percent increase in earnings .",Wiki1k:wikipedia:5391:10:2_22
4246,Wiki1k:wikipedia:5391:10:2,22,increase,what increases?,earnings,24:25,increases,what,_,_,_,_,_,False,,"Discussing the benefits of proximity , Glaeser claims that if a city is doubled in size , workers get a ten percent increase in earnings .",Wiki1k:wikipedia:5391:10:2_22
4311,Wiki1k:wikipedia:3391396:15:1,13,siege,where was someone siegeant?,the city,9:11,siegeant,where,was,someone,_,_,_,False,,"He urged the return of those who had fled the city during the siege , and resettled Muslims , Jews , and Christians from other parts of Anatolia .",Wiki1k:wikipedia:3391396:15:1_13
4314,Wiki1k:wikipedia:3391396:15:1,13,siege,where was someone siegeant?,other parts of Anatolia,24:28,siegeant,where,was,someone,_,_,_,False,,"He urged the return of those who had fled the city during the siege , and resettled Muslims , Jews , and Christians from other parts of Anatolia .",Wiki1k:wikipedia:3391396:15:1_13
4347,Wiki1k:wikipedia:37973:24:2,21,centre,where was something centred?,Chicago,17:18,centred,where,was,something,_,_,_,False,,"In 1931 , he received considerable support for his views on counter-cyclical public spending in Chicago , then America 's foremost centre for economic views alternative to the mainstream .",Wiki1k:wikipedia:37973:24:2_21
4348,Wiki1k:wikipedia:37973:24:2,21,centre,where was something centred?,America,20:21,centred,where,was,something,_,_,_,False,,"In 1931 , he received considerable support for his views on counter-cyclical public spending in Chicago , then America 's foremost centre for economic views alternative to the mainstream .",Wiki1k:wikipedia:37973:24:2_21
4373,Wiki1k:wikipedia:29778:41:0,25,motion,where did someone motion something?,public screenings,28:30,motion,where,did,someone,something,_,_,False,,"In April 1896 , Thomas Armat 's Vitascope , manufactured by the Edison factory and marketed in Edison 's name , was used to project motion pictures in public screenings in New York City .",Wiki1k:wikipedia:29778:41:0_25
4374,Wiki1k:wikipedia:29778:41:0,25,motion,where did someone motion something?,New York City,31:34,motion,where,did,someone,something,_,_,False,,"In April 1896 , Thomas Armat 's Vitascope , manufactured by the Edison factory and marketed in Edison 's name , was used to project motion pictures in public screenings in New York City .",Wiki1k:wikipedia:29778:41:0_25
4376,Wiki1k:wikipedia:29778:41:0,26,pictures,where was something pictured?,in public screenings,27:30,pictured,where,was,something,_,_,_,False,,"In April 1896 , Thomas Armat 's Vitascope , manufactured by the Edison factory and marketed in Edison 's name , was used to project motion pictures in public screenings in New York City .",Wiki1k:wikipedia:29778:41:0_26
4377,Wiki1k:wikipedia:29778:41:0,26,pictures,where was something pictured?,New York City,31:34,pictured,where,was,something,_,_,_,False,,"In April 1896 , Thomas Armat 's Vitascope , manufactured by the Edison factory and marketed in Edison 's name , was used to project motion pictures in public screenings in New York City .",Wiki1k:wikipedia:29778:41:0_26
4381,Wiki1k:wikipedia:29778:41:0,29,screenings,where was something screened?,public screenings,28:30,screened,where,was,something,_,_,_,False,,"In April 1896 , Thomas Armat 's Vitascope , manufactured by the Edison factory and marketed in Edison 's name , was used to project motion pictures in public screenings in New York City .",Wiki1k:wikipedia:29778:41:0_29
4382,Wiki1k:wikipedia:29778:41:0,29,screenings,where was something screened?,New York City,31:34,screened,where,was,something,_,_,_,False,,"In April 1896 , Thomas Armat 's Vitascope , manufactured by the Edison factory and marketed in Edison 's name , was used to project motion pictures in public screenings in New York City .",Wiki1k:wikipedia:29778:41:0_29
4394,Wiki1k:wikipedia:43079:57:0,6,feelings,who felt something?,oneself,10:11,felt,who,_,_,something,_,_,False,,"In a typical example , expressing feelings of happiness to oneself from Night 203 , Prince Qamar Al-Zaman , standing outside the castle , wants to inform Queen Bodour of his arrival .",Wiki1k:wikipedia:43079:57:0_6
